order	chunk_id	kind	origin_level	start_line	end_line	source_rel	target_rel	heading_path
33	09-00	preamble	2	1637	1640	source/master-ja-09-00.md	en/master-en-09-00.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} -->
34	09-01	section	3	1641	1718	source/master-ja-09-01.md	en/master-en-09-01.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > 強拍弱拍とは
35	09-02	section	3	1719	1824	source/master-ja-09-02.md	en/master-en-09-02.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > 多層拍とは
36	09-03	section	3	1825	1874	source/master-ja-09-03.md	en/master-en-09-03.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > 弱拍中心のリズム
37	09-04	section	3	1875	1914	source/master-ja-09-04.md	en/master-en-09-04.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > 強拍弱拍の順序とは
38	09-05-00	preamble	3	1915	1918	source/master-ja-09-05-00.md	en/master-en-09-05-00.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} -->
39	09-05-01	section	4	1919	1921	source/master-ja-09-05-01.md	en/master-en-09-05-01.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 尻合わせと頭合わせ
40	09-05-02	section	4	1922	1932	source/master-ja-09-05-02.md	en/master-en-09-05-02.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 尻合わせ
41	09-05-03	section	4	1933	1942	source/master-ja-09-05-03.md	en/master-en-09-05-03.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 頭合わせ
42	09-05-04	section	4	1943	2145	source/master-ja-09-05-04.md	en/master-en-09-05-04.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 多層拍構造での強拍先行
43	09-05-05	section	4	2146	2150	source/master-ja-09-05-05.md	en/master-en-09-05-05.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > RMOP原則を適用し弱拍を前にする
44	09-05-06	section	4	2151	2279	source/master-ja-09-05-06.md	en/master-en-09-05-06.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 弱拍先行の基本
45	09-05-07	section	4	2280	4075	source/master-ja-09-05-07.md	en/master-en-09-05-07.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 弱拍先行には複数の階層がある
46	09-05-08	section	4	4076	4092	source/master-ja-09-05-08.md	en/master-en-09-05-08.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > {{<meta var.MLWBOR.en>}}と尻合わせ <!-- {#multi-layered-weak-beat-precedence-and-tail-aligning} --> > 尻合わせリズム構造とは
47	09-06	section	3	4093	4226	source/master-ja-09-06.md	en/master-en-09-06.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > 弱拍が属する音価の判定
48	09-07-00	preamble	3	4227	4228	source/master-ja-09-07-00.md	en/master-en-09-07-00.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} -->
49	09-07-01	section	4	4229	4453	source/master-ja-09-07-01.md	en/master-en-09-07-01.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > バダムツーは二層弱拍先行認識
50	09-07-02	section	4	4454	4475	source/master-ja-09-07-02.md	en/master-en-09-07-02.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > 言語による多層レベルの違い
51	09-07-03	section	4	4476	4497	source/master-ja-09-07-03.md	en/master-en-09-07-03.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > 時代を経るごとに増加する多層レベル
52	09-07-04	section	4	4498	4507	source/master-ja-09-07-04.md	en/master-en-09-07-04.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > ストレス拍音楽の娯楽性能としてみた性能の高さ
53	09-07-05	section	4	4508	4513	source/master-ja-09-07-05.md	en/master-en-09-07-05.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > ジャズは究極の世界音楽
54	09-07-06	section	4	4514	4535	source/master-ja-09-07-06.md	en/master-en-09-07-06.md	{{<meta var.MLWBOR.en>}} <!-- {#multi-layered-weak-beat-precedence} --> > まとめ <!-- {#multi-layered-weak-beat-oriented-rhythm-theory-summary} --> > 誰でもグルーヴする為の方法論
55	10-00	preamble	2	4536	4539	source/master-ja-10-00.md	en/master-en-10-00.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} -->
56	10-01	section	3	4540	4769	source/master-ja-10-01.md	en/master-en-10-01.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > 多次元化とは
57	10-02	section	3	4770	4791	source/master-ja-10-02.md	en/master-en-10-02.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > 多次元ディヴィジョン空間理論とは
58	10-03-00	preamble	3	4792	4828	source/master-ja-10-03-00.md	en/master-en-10-03-00.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間
59	10-03-01	section	4	4829	4848	source/master-ja-10-03-01.md	en/master-en-10-03-01.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > ディヴィジョンとは
60	10-03-02	section	4	4849	4868	source/master-ja-10-03-02.md	en/master-en-10-03-02.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > 多次元化とは
61	10-03-03	section	4	4869	5119	source/master-ja-10-03-03.md	en/master-en-10-03-03.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > マクロディヴィジョンとは
62	10-03-04	section	4	5120	5319	source/master-ja-10-03-04.md	en/master-en-10-03-04.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > サブディヴィジョンとは
63	10-03-05	section	4	5320	5381	source/master-ja-10-03-05.md	en/master-en-10-03-05.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > 多次元化したサブディヴィジョンの呼び方
64	10-03-06	section	4	5382	5387	source/master-ja-10-03-06.md	en/master-en-10-03-06.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > マイクロディヴィジョンとは
65	10-03-07	section	4	5388	5394	source/master-ja-10-03-07.md	en/master-en-10-03-07.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ４つのディヴィジョン空間 > マイクロディヴィジョンの定義
66	10-04	section	3	5395	5425	source/master-ja-10-04.md	en/master-en-10-04.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ディヴィジョン空間次元転送について
67	10-05	section	3	5426	5428	source/master-ja-10-05.md	en/master-en-10-05.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > オフビートカウントの一般化
68	10-06	section	3	5429	5430	source/master-ja-10-06.md	en/master-en-10-06.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ディヴィジョン空間とオフビートカウントの組み合わせ
69	10-07	section	3	5431	5436	source/master-ja-10-07.md	en/master-en-10-07.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > ディヴィジョン空間ワープ
70	10-08	section	3	5437	5454	source/master-ja-10-08.md	en/master-en-10-08.md	多次元ディヴィジョン空間 <!-- {#multidimensional-division-spaces} --> > 拍のレイヤー
71	11-00	preamble	2	5455	5458	source/master-ja-11-00.md	en/master-en-11-00.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} -->
72	11-01	section	4	5459	5467	source/master-ja-11-01.md	en/master-en-11-01.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > Q（質問）日本人は英語ネイティブでも訛りますか？
73	11-02	section	4	5468	5541	source/master-ja-11-02.md	en/master-en-11-02.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > A（回答）はい。これは音韻学の学術研究でも報告されています。
74	11-03	section	4	5542	5547	source/master-ja-11-03.md	en/master-en-11-03.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > Q（質問）訛っていても聴き取りやすい人がいるのは何故ですか？
75	11-04	section	4	5548	5667	source/master-ja-11-04.md	en/master-en-11-04.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > A（回答）それはリズム的整合性が原因です。
76	11-05	section	4	5668	5673	source/master-ja-11-05.md	en/master-en-11-05.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > Q（質問）発音よりもリズムの方が大切ですか？
77	11-06	section	4	5674	5756	source/master-ja-11-06.md	en/master-en-11-06.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > A（回答）
78	11-07	section	3	5757	5765	source/master-ja-11-07.md	en/master-en-11-07.md	発音よりもリズムの正確さ <!-- {#rhythm-more-important-than-pronunciation} --> > 結論
79	12	section	2	5766	6018	source/master-ja-12.md	en/master-en-12.md	世界は3⁻ⁿ拍子で出来ている <!-- {#world-is-three-to-negative-n} -->
80	13-00	preamble	2	6019	6025	source/master-ja-13-00.md	en/master-en-13-00.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} -->
81	13-01	section	4	6026	6037	source/master-ja-13-01.md	en/master-en-13-01.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 日本語の2⁻ⁿリズムから英語の3⁻ⁿリズムへ
82	13-02	section	4	6038	6047	source/master-ja-13-02.md	en/master-en-13-02.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 世界は3⁻ⁿ拍子で出来ている
83	13-03	section	4	6048	6066	source/master-ja-13-03.md	en/master-en-13-03.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 何故3のべき乗を分母とする分数のずれがあるとグルーヴするのか
84	13-04	section	4	6067	6091	source/master-ja-13-04.md	en/master-en-13-04.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 0.037 の謎 〜 3⁻ⁿグルーヴ理論の実証実験
85	13-05	section	4	6092	6100	source/master-ja-13-05.md	en/master-en-13-05.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > ゲーリック及び黒人教会音楽リズムがジャズ起源であるという仮説
86	13-06	section	4	6101	6105	source/master-ja-13-06.md	en/master-en-13-06.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 1
87	13-07	section	4	6106	6110	source/master-ja-13-07.md	en/master-en-13-07.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 2
88	13-08	section	4	6111	6122	source/master-ja-13-08.md	en/master-en-13-08.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 3
89	13-09	section	3	6123	6666	source/master-ja-13-09.md	en/master-en-13-09.md	3⁻ⁿグルーヴと2⁻ⁿグルーヴ <!-- {#three-to-n-groove-theory} --> > 多層弱拍先行の基本単位を3に拡張する
90	14	section	2	6667	6870	source/master-ja-14.md	en/master-en-14.md	分散グルーヴ理論  <!-- {#distributed-groove-theory} -->
91	15	section	2	6871	6973	source/master-ja-15.md	en/master-en-15.md	弱拍天動説と強拍地動説 <!-- {#weak-beat-as-sun-strong-beat-as-earth} -->
92	16-00	preamble	2	6974	6989	source/master-ja-16-00.md	en/master-en-16-00.md	オフビートカウント入門 <!-- {#offbeat-count-basic} -->
93	16-01	section	3	6990	7056	source/master-ja-16-01.md	en/master-en-16-01.md	オフビートカウント入門 <!-- {#offbeat-count-basic} --> > はじめに
94	16-02	section	3	7057	7356	source/master-ja-16-02.md	en/master-en-16-02.md	オフビートカウント入門 <!-- {#offbeat-count-basic} --> > 基本
95	16-03	section	3	7357	7590	source/master-ja-16-03.md	en/master-en-16-03.md	オフビートカウント入門 <!-- {#offbeat-count-basic} --> > 基礎練習
96	16-04	section	3	7591	7602	source/master-ja-16-04.md	en/master-en-16-04.md	オフビートカウント入門 <!-- {#offbeat-count-basic} --> > 仕上げ練習
97	16-05	section	3	7603	7640	source/master-ja-16-05.md	en/master-en-16-05.md	オフビートカウント入門 <!-- {#offbeat-count-basic} --> > まとめ
98	17	section	2	7641	7694	source/master-ja-17.md	en/master-en-17.md	リズム認識型とリズム感  <!-- {#rhythmochronic-competence-and-rhythmic-feeling } -->
99	18	section	2	7695	7716	source/master-ja-18.md	en/master-en-18.md	オフビートカウントで英語リスニングを極める   <!-- {#why-offbeat-counting-enhances-english-listening-skills} -->
100	19	section	2	7717	7994	source/master-ja-19.md	en/master-en-19.md	{{<meta var.MORA_SPEAKERS.en>}}の為のエチュード <!-- {#etudes-for-speakers-of-mora-timed-languages} -->
101	20-00	preamble	2	7995	7998	source/master-ja-20-00.md	en/master-en-20-00.md	英語の正しい発音法 <!-- {#phonetics} -->
102	20-01	section	3	7999	8037	source/master-ja-20-01.md	en/master-en-20-01.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語でのリズム練習の重要性
103	20-02	section	3	8038	8050	source/master-ja-20-02.md	en/master-en-20-02.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の発音は変化する
104	20-03	section	3	8051	8094	source/master-ja-20-03.md	en/master-en-20-03.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の全方言で現れる母音一覧
105	20-04	section	3	8095	8202	source/master-ja-20-04.md	en/master-en-20-04.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の全方言で現れる子音一覧
106	20-05	section	3	8203	8237	source/master-ja-20-05.md	en/master-en-20-05.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の方言の一覧
107	20-06	section	3	8238	8270	source/master-ja-20-06.md	en/master-en-20-06.md	英語の正しい発音法 <!-- {#phonetics} --> > (非表示)英語の方言の一覧(英語での説明)
108	20-07	section	3	8271	8304	source/master-ja-20-07.md	en/master-en-20-07.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の方言の略称
109	20-08	section	3	8305	8329	source/master-ja-20-08.md	en/master-en-20-08.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の方言による子音変化の一覧
110	20-09	section	3	8330	8389	source/master-ja-20-09.md	en/master-en-20-09.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の方言による子音変化の地方別マトリックス
111	20-10	section	3	8390	8444	source/master-ja-20-10.md	en/master-en-20-10.md	英語の正しい発音法 <!-- {#phonetics} --> > (非表示)方言による発音変化一覧(英語版)
112	20-11	section	3	8445	8463	source/master-ja-20-11.md	en/master-en-20-11.md	英語の正しい発音法 <!-- {#phonetics} --> > IPAの全調音点(Places of Articulation)一覧
113	20-12	section	3	8464	8629	source/master-ja-20-12.md	en/master-en-20-12.md	英語の正しい発音法 <!-- {#phonetics} --> > IPAでの全調音法(Manners of Articulation)一覧
114	20-13	section	3	8630	8674	source/master-ja-20-13.md	en/master-en-20-13.md	英語の正しい発音法 <!-- {#phonetics} --> > (非表示) 音韻規則を表す表記法(SPE)
115	20-14	section	3	8675	8711	source/master-ja-20-14.md	en/master-en-20-14.md	英語の正しい発音法 <!-- {#phonetics} --> > (非表示)音韻規則を表す時の発音変化位置の用語
116	20-15	section	3	8712	8714	source/master-ja-20-15.md	en/master-en-20-15.md	英語の正しい発音法 <!-- {#phonetics} --> > 英語の音韻学の用語集
117	20-16	section	3	8715	8838	source/master-ja-20-16.md	en/master-en-20-16.md	英語の正しい発音法 <!-- {#phonetics} --> >  英語でのCore Glossary for Describing Pronunciation Alterations
118	21-00	preamble	2	8839	8840	source/master-ja-21-00.md	en/master-en-21-00.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} -->
119	21-01	section	3	8841	8850	source/master-ja-21-01.md	en/master-en-21-01.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > オフビートカウントとは
120	21-02	section	3	8851	8863	source/master-ja-21-02.md	en/master-en-21-02.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > オフビートカウントの意図
121	21-03	section	3	8864	8915	source/master-ja-21-03.md	en/master-en-21-03.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 『ずらし読み』と『みなし読み』
122	21-04	section	3	8916	8934	source/master-ja-21-04.md	en/master-en-21-04.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 日本人が聴き取れない６つの音韻規則＝リズム認識型 <!-- {#six-rhythm-recognition-types} -->
123	21-05	section	3	8935	8958	source/master-ja-21-05.md	en/master-en-21-05.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 音韻規則の３つのレベルについて <!-- {#three-hierarchical-levels-of-phonological-rules-1} -->
124	21-06	section	3	8959	9032	source/master-ja-21-06.md	en/master-en-21-06.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > オフビートカウントで使う数字・記号・アルファベット
125	21-07	section	3	9033	9066	source/master-ja-21-07.md	en/master-en-21-07.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > カウント パターンとは
126	21-08	section	3	9067	9076	source/master-ja-21-08.md	en/master-en-21-08.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 音韻表記厳密化とは何か <!-- {#prosodic-notation-strictification} -->
127	21-09	section	3	9077	9102	source/master-ja-21-09.md	en/master-en-21-09.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 音韻表記厳密化の７つのレベル <!-- {#seven-levels-of-prosodic-notation-strictification} -->
128	21-10	section	3	9103	9110	source/master-ja-21-10.md	en/master-en-21-10.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > {{<meta var.PNS.en>}}レベルによって必要となる{{<meta var.PHONOLOGICAL_RULE_LEVELS.en>}} <!-- {#three-hierarchical-levels-of-phonological-rules} -->
129	21-11	section	3	9111	9120	source/master-ja-21-11.md	en/master-en-21-11.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > {{<meta var.PNSPTI.en>}}について   <!-- {#phonological-notation-strictification-perceptual-theoretical-inversion}-->
130	21-12-00	preamble	3	9121	9128	source/master-ja-21-12-00.md	en/master-en-21-12-00.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > ３つの基本カウントパターンについて
131	21-12-01	section	4	9129	9136	source/master-ja-21-12-01.md	en/master-en-21-12-01.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > ３つの基本カウントパターンについて > 音韻規則レベル１=音素レベル
132	21-12-02	section	4	9137	9145	source/master-ja-21-12-02.md	en/master-en-21-12-02.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > ３つの基本カウントパターンについて > 音韻規則レベル２=音節レベル
133	21-12-03	section	4	9146	9490	source/master-ja-21-12-03.md	en/master-en-21-12-03.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > ３つの基本カウントパターンについて > 音韻規則レベル３=韻律レベル
134	21-13-00	preamble	3	9491	9494	source/master-ja-21-13-00.md	en/master-en-21-13-00.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 基底3⁻ⁿに於ける音韻表記厳密化 <!-- {#practical-prosodic-notation-strictification-in-three} -->
135	21-13-01	section	4	9495	9589	source/master-ja-21-13-01.md	en/master-en-21-13-01.md	オフビートカウントの正しい発音 <!-- {#how-to-pronounce-the-offbeat-count-correctly} --> > 基底3⁻ⁿに於ける音韻表記厳密化 <!-- {#practical-prosodic-notation-strictification-in-three} --> > 音韻規則レベル１=音素レベル  <!-- {#ppns-1} -->
